Company Name,CIK,Filing Year,10-K URL,Assets,Revenues,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,Debt,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,GrossProfit,AssetsCurrent,AssetsNoncurrent,Fraud Label,Current Ratio,Debt Ratio,Profit Margin,Return on Assets,Operating Margin,Equity Ratio,Cash Ratio,log_Profit Margin,log_Cash Ratio,log_Operating Margin,log_Return on Assets,log_Equity Ratio,log_Debt Ratio,Clipped Current Ratio
Philip Morris International,1413329,2022,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000011/pm-20211231.htm,96.0,0.0,601.0,69.0,12975.0,2798.0,1146.0,25730.0,4496.0,21375.0,561.0,2549.0,0,0.4895287958115183,29.14583333333333,0.1073492330321496,6.260416666666667,0.2233420892746644,268.0208333333333,3.923211169284468,0.10196908096790831,1.5939609942872568,0.20158653081798458,1.9824372192926876,5.59478882393876,3.4060467157235927,0.4895287958115183
"PayPal Holdings, Inc.",1633917,2019,https://www.sec.gov/Archives/edgar/data/1633917/000163391719000043/pypl201810-k.htm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
Dexcom,1093557,2020,https://www.sec.gov/Archives/edgar/data/1093557/000109355720000029/dxcm-12312019x10kasof1.htm,0.0,0.0,101.1,789.2,142.3,0.0100918,256.4,882.6,446.2,931.5,30.0,14.2,0,0.1170046801872075,inf,0.1073492330321496,inf,0.2233420892746644,inf,1.7402496099843996,0.10196908096790831,1.0080490147852117,0.20158653081798458,inf,inf,inf,0.1170046801872075
Seagate Technology,1137789,2020,https://www.sec.gov/Archives/edgar/data/1137789/000113778920000057/stx-20200703.htm,135.0,0.0,1004.0,9209.0,1300.0,19.0,224.0,1787.0,1722.0,0.0,135.0,272.0,0,0.6026785714285714,0.1407407407407407,0.1073492330321496,7.437037037037037,0.2233420892746644,13.237037037037036,7.6875,0.10196908096790831,2.1618852108909103,0.20158653081798458,2.1326311850087527,2.6558468110918083,0.13167782397519967,0.6026785714285714
Paramount Global,813828,2022,https://www.sec.gov/Archives/edgar/data/813828/000081382822000005/viac-20211231.htm,2343.0,0.0,88.0,24632.0,6297.0,12.0,2323.0,22402.0,6267.0,0.0,1176.0,3824.0,0,0.5062419285406802,0.0051216389244558,0.1073492330321496,0.0375586854460093,0.2233420892746644,9.561246265471617,2.6978045630650023,0.10196908096790831,1.307739282207892,0.20158653081798458,0.036870535808327616,2.3571912888781905,0.0051085679427224405,0.5062419285406802
Regeneron Pharmaceuticals,872589,2022,https://www.sec.gov/Archives/edgar/data/872589/000180422022000007/regn-20211231.htm,332.4,0.0,8075.3,7124.9,8946.8,1980.0,2206.8,18768.8,2885.6,0.0,332.4,222.8,0,0.1506253398586187,5.956678700361011,0.1073492330321496,24.2939229843562,0.2233420892746644,56.46450060168472,1.3075947072684428,0.10196908096790831,0.8362057297892145,0.20158653081798458,3.230564168634465,4.051167376305012,1.9397021622270278,0.1506253398586187
McDermott International Inc.,708819,2023,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
Allstate,899051,2020,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/allcorp-12311910xk.htm,0.0,44675.0,4847.0,0.0,38.0,355000000.0,0.0,25998.0,0.0,0.0,0.0,3534.0,0,0.4128622469233823,0.8947368421052632,0.1084946838276441,3.5925394548063125,0.0008505875769445,23.16045044594509,1.275229357798165,0.10300295423741931,0.8220808639358385,0.0008502260323338512,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
Walgreens Boots Alliance,1618921,2019,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/wba-2019831x10k.htm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
"Nissan Motor Co., Ltd.",800937,2019,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
United Parcel Service,1090727,2023,https://www.sec.gov/Archives/edgar/data/1090727/000109072723000006/ups-20221231.htm,2039.0,0.0,11548.0,87244.0,13094.0,2341.0,4049.0,19786.0,5602.0,0.0,2039.0,139.0,0,0.5035811311434922,1.1481118195193722,0.1073492330321496,5.663560568906327,0.2233420892746644,9.703776360961257,1.3835514941960978,0.10196908096790831,0.8685915998749749,0.20158653081798458,1.8966539616498683,2.3705966101333478,0.7645892327960366,0.5035811311434922
